status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
107861655950370_1406091442794045,,LIVE STREAM: Ukrajinska invazija na sunčani Zagreb,link,http://www.index.hr/sport/clanak/pogledajte-kako-se-hrvati-i-ukrajinci-zajedno-zagrijavaju-na-zagrebackim-ulicama/958926.aspx,2017-03-24 09:23:16,30,4,0,28,2,0,0,0,0
107861655950370_1406091406127382,U javnost je procurila priča iz mondenog skijališta Aspen.,Nije baš takva dobrica: Amerika bruji o ljubavnom skandalu Ivanke Trump,link,http://www.index.hr/black/clanak/nije-bas-takva-dobrica-amerika-bruji-o-ljubavnom-skandalu-ivanke-tramp/958949.aspx,2017-03-24 09:23:13,29,5,0,28,0,0,1,0,0
107861655950370_1406091356127387,"Index Vijesti: Analitičar kaže da su četiri glavna borilišta: Zagreb, Zadar, Omiš i Metković. A objasnio je i zašto.","Puhovski: Bruna Esih je velika prijetnja Plenkoviću, a SDP čeka neviđena katastrofa",link,http://www.index.hr/vijesti/clanak/puhovski-bruna-esih-je-velika-prijetnja-plenkovicu-a-sdp-ceka-nevidena-katastrofa/958947.aspx,2017-03-24 09:23:07,23,6,0,20,1,0,2,0,0
107861655950370_1406091322794057,,MOURINHO I MIJATOVIĆ U ESPLANADI Zanimljiv im je još jedan Hrvat?,link,http://www.index.hr/sport/clanak/mourinho-i-mijatovic-u-esplanadi-zanimljiv-im-je-jos-jedan-hrvat/958955.aspx,2017-03-24 09:23:03,33,4,0,33,0,0,0,0,0
107861655950370_1406065436129979,Ovo nije bilo po planu :D,FOTO Majmunska posla: Pogledajte kako je prošlo predviđanje gibona iz zagrebačkog ZOO-a o tekmi,link,http://www.index.hr/black/clanak/foto-majmunska-posla-pogledajte-kako-je-proslo-predvidanje-gibona-iz-zagrebackog-zooa-o-tekmi/958939.aspx,2017-03-24 08:45:37,10,0,1,8,0,0,2,0,0
107861655950370_1406065296129993,Index Rouge: Internetski trolovi ne štede baš nikoga...,Ovako zvuči kada jedna od najljepših žena prizna da ju bole kritike,link,http://www.index.hr/rouge/clanak/ovako-zvuci-kada-jedna-od-najljepsih-zena-prizna-da-ju-bole-kritike/958935.aspx,2017-03-24 08:45:32,19,1,0,17,2,0,0,0,0
107861655950370_1406065216130001,,Porscheovi radnici dobivaju bonus veći od godišnje plaće hrvatskog radnika,link,http://www.index.hr/auto/clanak/porscheovi-radnici-dobivaju-bonus-veci-od-godisnje-place-hrvatskog-radnika/958909.aspx,2017-03-24 08:45:28,341,20,9,319,4,9,5,2,2
107861655950370_1406065099463346,Index Vijesti: Godišnje od nje umre oko 200 ljudi,FOTO Djevojčica u Tribunju uhvatila jednu od najotrovnijih riba na svijetu,link,http://www.index.hr/vijesti/clanak/foto-djevojcica-u-tribunju-uhvatila-jednu-od-najotrovnijih-riba-na-svijetu/958938.aspx,2017-03-24 08:45:23,49,0,1,45,1,2,0,0,1
107861655950370_1406065029463353,Stiže nova Severinina stvar.,"VIDEO Nives ima konkurenciju: Severinin dekolte nikad nije bio veći, a ona nikad više seksi",link,http://www.index.hr/black/clanak/video-nives-ima-konkurenciju-severinin-dekolte-nikad-nije-bio-veci-a-ona-nikad-vise-seksi/958932.aspx,2017-03-24 08:45:20,84,29,1,77,3,0,2,1,1
107861655950370_1406064922796697,Index Vijesti: Bandićevom čovjeku su jednako važne školske uniforme i prozori koji padaju po djeci.,"BANDIĆEV ČOVJEK U SVAĐI S RODITELJIMA ""Dramatizirate, prozori i inače padaju sa škola""",link,http://www.index.hr/vijesti/clanak/bandicev-covjek-u-svadi-s-roditeljima-dramatizirate-prozori-i-inace-padaju-sa-skola/958933.aspx,2017-03-24 08:45:13,112,57,9,28,1,3,26,5,49
107861655950370_1406039466132576,"Index Rouge: Predivni make-up za svaku priliku, pogledajte video :)",Beauty Jar: Smeđi smokey eye koji će vas oduševiti,link,http://www.index.hr/rouge/clanak/beauty-jar-smedi-smokey-eye-koji-ce-vas-oduseviti/958897.aspx,2017-03-24 08:07:48,2,0,0,2,0,0,0,0,0
107861655950370_1406039422799247,Index Rouge: Na popisu naših želja <3,Haljina domaćeg dizajnera koja je oduševila Hrvatice,link,http://www.index.hr/rouge/clanak/haljina-domaceg-dizajnera-koja-je-odusevila-hrvatice/958883.aspx,2017-03-24 08:07:42,10,6,0,7,2,1,0,0,0
107861655950370_1406039382799251,"""Ovo je moj odmor za tijelo, duh i dušu"", kaže Nina.","VIDEO Nina Badrić iznenadila fanove neobičnom vještinom, vidite li što radi?",link,http://www.index.hr/black/clanak/video-nina-badric-iznenadila-fanove-neobicnom-vjestinom-vidite-li-sto-radi/958921.aspx,2017-03-24 08:07:39,42,39,0,34,0,0,6,0,2
107861655950370_1406039326132590,Index Sport: Najveći,"GIGIJEVIH 1000 Zvali su ga fašistom, bio je u depresiji, ali sve ih je pobijedio",link,http://www.index.hr/sport/clanak/gigijevih-1000-zvali-su-ga-fasistom-bio-je-u-depresiji-ali-sve-ih-je-pobijedio/958884.aspx,2017-03-24 08:07:34,104,0,0,99,5,0,0,0,0
107861655950370_1406039276132595,"Index Vijesti: ""Zašto predlažete glupo rješenje kad ste i sami poubijali milijune ljudi?""","Filipinski predsjednik opet šokira: ""EU su idiotski kurvini sinovi""",link,http://www.index.hr/vijesti/clanak/filipinski-predsjednik-opet-sokira-eu-su-idiotski-kurvini-sinovi/958923.aspx,2017-03-24 08:07:28,264,26,13,224,13,3,21,1,2
107861655950370_1406039089465947,"Index Vijesti: Dadilja ih je navodno ostavila same ""samo na trenutak dok je otišla nešto obaviti"".","Pronađeni oteti dječaci u automobilu, ali nema traga otmičaru",link,http://www.index.hr/vijesti/clanak/pronadeni-oteti-djecaci-u-automobilu-ali-nema-traga-otmicaru/958916.aspx,2017-03-24 08:07:20,22,0,0,22,0,0,0,0,0
107861655950370_1406038989465957,"Index Fit: Svi žele imati zdrav i brz metabolizam te izgubiti višak kilograma, a ove će ti zdrave i ukusne namirnice pomoći da to i postigneš!",9 namirnica koje ubrzavaju metabolizam,link,http://www.index.hr/fit/clanak/9-namirnica-koje-ubrzavaju-metabolizam/720747.aspx,2017-03-24 08:07:14,10,0,1,10,0,0,0,0,0
107861655950370_1406038946132628,Index Fit: Uživajte u njima bez imalo grižnje savjesti,Ovi savršeni brownieji od samo 3 sastojka pogodni su za sve vrste dijeta,link,http://www.index.hr/fit/clanak/ovi-savrseni-brownieji-od-samo-3-sastojka-pogodni-su-za-sve-vrste-dijeta-/958929.aspx,2017-03-24 08:07:09,280,20,63,275,4,0,1,0,0
